seed,batch_size,hidden_size,dropout,rmse,mae,train_time,inference_time,best_epoch,plot_path
2024,4,64,0.0,63.16461280295221,37.191558837890625,64.9047179222107,0.017175912857055664,72,grid_search_plots/seed_2024/mlp_bs4_hs64_dr0.0.png
2024,4,64,0.1,63.86926841028966,37.79987716674805,68.67183780670166,0.01600027084350586,53,grid_search_plots/seed_2024/mlp_bs4_hs64_dr0.1.png
2024,4,64,0.2,57.44412196593747,31.05382537841797,69.71524310112,0.01799798011779785,849,grid_search_plots/seed_2024/mlp_bs4_hs64_dr0.2.png
2024,8,32,0.0,58.59797901405176,35.239471435546875,36.66051745414734,0.01700115203857422,8,grid_search_plots/seed_2024/mlp_bs8_hs32_dr0.0.png
2024,8,32,0.1,59.57671533212976,34.19379425048828,38.05728101730347,0.01899886131286621,668,grid_search_plots/seed_2024/mlp_bs8_hs32_dr0.1.png
2024,8,32,0.2,60.865149357000675,33.528682708740234,38.000813007354736,0.016997337341308594,781,grid_search_plots/seed_2024/mlp_bs8_hs32_dr0.2.png
2024,8,64,0.0,58.59797901405176,35.239471435546875,35.38296961784363,0.01699972152709961,8,grid_search_plots/seed_2024/mlp_bs8_hs64_dr0.0.png
2024,8,64,0.1,59.57671533212976,34.19379425048828,37.746750593185425,0.01900005340576172,668,grid_search_plots/seed_2024/mlp_bs8_hs64_dr0.1.png
2024,8,64,0.2,60.865149357000675,33.528682708740234,37.40082907676697,0.017999887466430664,781,grid_search_plots/seed_2024/mlp_bs8_hs64_dr0.2.png
2024,16,32,0.0,61.23386067658461,36.09370040893555,20.633846282958984,0.01699995994567871,11,grid_search_plots/seed_2024/mlp_bs16_hs32_dr0.0.png
2024,16,32,0.1,109.54298260985274,86.21044921875,22.19963765144348,0.016997337341308594,999,grid_search_plots/seed_2024/mlp_bs16_hs32_dr0.1.png
2024,16,32,0.2,63.255355427302554,36.9964714050293,22.05075764656067,0.017000198364257812,141,grid_search_plots/seed_2024/mlp_bs16_hs32_dr0.2.png
