window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
185,-0.5037012,0.21467698,-0.91222227,0.04099346,-0.5037012,-0.63987494,-0.0046956455,-15.111036
186,-0.49734646,0.21738748,-0.91222227,0.04099346,-0.6943444,-0.31305808,0.013147804,-14.920394
187,-0.4773743,0.22573453,-0.91222227,0.04099346,-0.63987494,-0.09518021,0.018782577,-14.321229
188,-0.45377094,0.24380626,-0.91222227,0.06822819,-0.31305808,0.06822819,0.013147802,-13.613128
189,-0.45104742,0.24581099,-0.91222227,0.06822819,-0.58540547,-0.2313539,0.012208676,-13.531423
190,-0.44650832,0.24454205,-0.91222227,0.06822819,0.04099346,-0.44923177,-0.016904319,-13.395249
191,-0.45467868,0.23188476,-0.91222227,0.06822819,-0.5581707,-0.20411916,0.012208673,-13.640361
192,-0.44741616,0.23194163,-0.91222227,0.06822819,-0.6943444,-0.34029284,0.012208674,-13.422484
193,-0.42925963,0.23321728,-0.91222227,0.06822819,-0.5581707,-0.14964968,0.014086931,-12.877789
194,-0.39839357,0.27214152,-0.91222227,0.36781028,-0.31305808,0.36781028,0.023478221,-11.951807
195,-0.3666197,0.3297903,-0.91222227,0.64015764,-0.6943444,0.64015764,0.04601731,-10.998591
196,-0.32395193,0.36550057,-0.91222227,0.64015764,-0.2313539,0.5856882,0.028173864,-9.718558
197,-0.30397984,0.3858201,-0.91222227,0.64015764,-0.14964968,0.36781028,0.017843448,-9.119395
198,-0.2994407,0.38840145,-0.91222227,0.64015764,-0.44923177,-0.01347601,0.015026061,-8.983221
199,-0.28128424,0.39367044,-0.91222227,0.64015764,-0.91222227,0.095462926,0.034747764,-8.438527
200,-0.256773,0.3761243,-0.91222227,0.64015764,-0.6126402,-0.17688441,0.015026062,-7.70319
201,-0.23770867,0.3720763,-0.91222227,0.64015764,-0.63987494,-0.040710744,0.020660834,-7.1312604
202,-0.22227564,0.36460206,-0.91222227,0.64015764,-0.31305808,-0.17688441,0.0046956437,-6.668269
203,-0.19594873,0.38503855,-0.91222227,0.64015764,-0.17688441,0.4767492,0.02253909,-5.878462
204,-0.20684265,0.3889485,-0.91222227,0.64015764,-0.2313539,-0.5037012,-0.009391287,-6.2052794
205,-0.22409128,0.400942,-0.91222227,0.64015764,-0.5581707,-0.74881387,-0.0065739034,-6.7227383
206,-0.22863041,0.40544403,-0.91222227,0.64015764,-0.58540547,-0.6943444,-0.003756515,-6.8589125
207,-0.22863038,0.405444,-0.91222227,0.64015764,-0.91222227,-0.58540547,0.011269545,-6.8589115
208,-0.20775047,0.38533273,-0.74881387,0.64015764,-0.72157913,-0.28582335,0.015026062,-6.232514
209,-0.18414702,0.37467536,-0.74881387,0.64015764,-0.58540547,-0.01347601,0.019721705,-5.5244102
210,-0.16054358,0.37093934,-0.74881387,0.64015764,-0.44923177,0.12269767,0.019721705,-4.816307
211,-0.1550966,0.36784708,-0.74881387,0.64015764,-0.44923177,-0.28582335,0.0056347735,-4.6528983
212,-0.14511055,0.3637704,-0.74881387,0.64015764,-0.5037012,-0.14964968,0.012208673,-4.3533163
213,-0.14057143,0.36009866,-0.74881387,0.64015764,-0.4764665,-0.36752757,0.003756515,-4.217143
214,-0.14420272,0.36399576,-0.74881387,0.64015764,-0.63987494,-0.58540547,0.0018782575,-4.3260818
215,-0.12967753,0.35243705,-0.74881387,0.64015764,-0.31305808,-0.20411916,0.0037565143,-3.890326
216,-0.1133367,0.35491177,-0.74881387,0.64015764,-0.09518021,0.17716713,0.009391287,-3.400101
217,-0.10879758,0.35598412,-0.74881387,0.64015764,0.06822819,0.04099346,-0.00093912875,-3.2639275
218,-0.11606016,0.35451797,-0.74881387,0.64015764,-0.2313539,-0.14964968,0.0028173868,-3.4818048
219,-0.117875814,0.35524255,-0.74881387,0.64015764,-0.44923177,-0.28582335,0.0056347735,-3.5362744
220,-0.11878364,0.35612187,-0.74881387,0.64015764,-0.20411916,-0.4764665,-0.009391287,-3.5635092
221,-0.11061322,0.35688126,-0.74881387,0.64015764,-0.34029284,0.04099346,0.013147803,-3.3183966
222,-0.12876971,0.38113606,-0.88498753,0.64015764,-0.14964968,-0.88498753,-0.025356477,-3.8630915
223,-0.15691228,0.41159204,-0.99392647,0.64015764,0.36781028,-0.99392647,-0.046956442,-4.7073684
224,-0.2023035,0.42605507,-0.99392647,0.64015764,0.64015764,-0.99392647,-0.056347728,-6.069105
225,-0.22227564,0.39929834,-0.99392647,0.5856882,0.5856882,0.04099346,-0.018782577,-6.668269
226,-0.23770864,0.37604216,-0.99392647,0.4767492,0.36781028,0.12269767,-0.008452159,-7.1312594
227,-0.23770864,0.37604216,-0.99392647,0.4767492,-0.01347601,0.36781028,0.013147803,-7.1312594
228,-0.23498517,0.3779473,-0.99392647,0.4767492,0.095462926,0.06822819,-0.00093912875,-7.0495553
229,-0.2504182,0.37356618,-0.99392647,0.4767492,-0.17688441,-0.36752757,-0.006573902,-7.5125456
230,-0.23135391,0.39101845,-0.99392647,0.4767492,-0.040710744,0.395045,0.015026061,-6.940617
231,-0.18687049,0.47669777,-0.99392647,1.2937913,-0.17688441,1.2937913,0.050712954,-5.6061144
232,-0.14601842,0.5257895,-0.99392647,1.2937913,0.4767492,1.0486786,0.019721705,-4.3805523
233,-0.16417487,0.51322526,-0.99392647,1.2937913,-0.5037012,-0.06794548,0.01502606,-4.9252462
234,-0.18051575,0.5312627,-0.99392647,1.2937913,-0.74881387,-0.99392647,-0.008452158,-5.4154725
235,-0.18868613,0.54172176,-0.99392647,1.2937913,-0.6943444,-0.99392647,-0.010330416,-5.660584
236,-0.19867222,0.5535824,-0.99392647,1.2937913,-0.58540547,-0.99392647,-0.014086931,-5.9601665
237,-0.21228957,0.5677707,-0.99392647,1.2937913,-0.28582335,-0.99392647,-0.024417348,-6.368687
238,-0.19413307,0.5738061,-0.99392647,1.2937913,-0.01347601,0.25887135,0.009391288,-5.8239923
239,-0.22681476,0.59027094,-0.99392647,1.2937913,0.12269767,-0.99392647,-0.03850428,-6.804443
240,-0.26403558,0.60214436,-0.99392647,1.2937913,-0.28582335,-0.99392647,-0.024417348,-7.921067
241,-0.287639,0.6162491,-0.99392647,1.2937913,-0.14964968,-0.99392647,-0.029112993,-8.629169
242,-0.31578156,0.62846184,-0.99392647,1.2937913,-0.36752757,-0.99392647,-0.021599963,-9.473447
243,-0.3366615,0.6401315,-0.99392647,1.2937913,-0.58540547,-0.99392647,-0.014086931,-10.099845
244,-0.29127032,0.6685337,-0.99392647,1.2937913,-0.20411916,0.7763313,0.033808637,-8.73811
245,-0.24497125,0.7191466,-0.99392647,1.2937913,0.17716713,1.1848524,0.034747764,-7.3491373
246,-0.23498516,0.7269764,-0.99392647,1.2937913,0.04099346,0.4767492,0.015026061,-7.049555
247,-0.18051568,0.80287004,-0.99392647,1.6750776,-0.14964968,1.6750776,0.06292163,-5.41547
248,-0.13149318,0.84694725,-0.99392647,1.6750776,-0.28582335,1.321026,0.055408597,-3.9447956
249,-0.1550966,0.8606751,-0.99392647,1.6750776,-0.4764665,-0.99392647,-0.017843448,-4.6528983
250,-0.1723453,0.8720527,-0.99392647,1.6750776,0.04099346,-0.99392647,-0.035686895,-5.1703587
251,-0.20684263,0.8833282,-0.99392647,1.6750776,-0.88498753,-0.99392647,-0.003756515,-6.205279
252,-0.21047394,0.8863273,-0.99392647,1.6750776,-0.99392647,-0.99392647,0.0,-6.314218
