window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23
6,6,-0.3125301003456116,-0.10909069329500198,0.7360912561416626,2.0,0.3834448456764221,0.5730920433998108,0.931034505367279,8.0,0.07999999821186066,3.0,0.09505949914455414,1.0,0.20000000298023224,0.3333333432674408,-0.4000000059604645,0.29107487201690674,4.0,2.091329574584961,0.0,0.0,1.5707963705062866,1.077489972114563,8.666666984558105,5.652789115905762
6,7,-0.44256293773651123,-0.2197340428829193,0.7306019067764282,2.0,0.2708856165409088,1.9461787939071655,0.931034505367279,5.0,0.015306122601032257,2.0,0.04070539399981499,1.0,0.5,0.6666666865348816,-0.5666666626930237,0.19665363430976868,3.0,2.141519784927368,0.0,0.0,1.3744467496871948,1.1323466300964355,19.16666603088379,10.770596504211426
7,0,0.34530627727508545,0.5524899959564209,0.699600338935852,1.0,0.27930429577827454,0.09528906643390656,0.9655172228813171,4.0,0.045267488807439804,6.0,0.16487351059913635,5.0,0.3333333432674408,0.2666666805744171,-0.20000000298023224,0.15763212740421295,3.0,2.1187028884887695,0.0,0.0,1.3744467496871948,1.0838675498962402,23.33333396911621,13.514573097229004
7,1,-0.6538345813751221,-0.7857003808021545,0.6272501349449158,1.0,0.19527609646320343,0.03459206968545914,0.7586206793785095,3.0,0.016250494867563248,4.0,0.15694862604141235,3.0,1.0,0.30000001192092896,-0.2666666805744171,0.2295638620853424,3.0,2.0284221172332764,0.0,0.0,1.3744467496871948,1.1480679512023926,5.566666603088379,6.066773891448975
7,2,0.25282925367355347,-0.10835538804531097,0.888301432132721,4.0,0.379071980714798,-0.658841073513031,1.0,5.0,0.020408162847161293,6.0,0.08838331699371338,1.0,0.5,0.03333333507180214,-0.23333333432674408,0.08983643352985382,3.0,1.963575839996338,0.0,0.0,0.9817476868629456,1.2225967645645142,11.600000381469727,5.537333965301514
7,3,-1.1438547372817993,-0.977811336517334,0.6765913367271423,3.0,0.09436580538749695,-0.24555718898773193,0.931034505367279,5.0,0.017006803303956985,6.0,0.12185997515916824,1.0,0.5,0.7333333492279053,-0.23333333432674408,0.16093742847442627,3.0,2.0661256313323975,0.0,0.0,1.5707963705062866,1.1354119777679443,2.6666667461395264,1.8067561388015747
7,4,-0.7148128747940063,0.7635501027107239,0.7289513945579529,1.0,0.34342262148857117,0.44946369528770447,0.931034505367279,4.0,0.03292180970311165,6.0,0.11747489869594574,3.0,0.3333333432674408,0.2666666805744171,-0.1666666716337204,0.1906028836965561,5.0,1.9611889123916626,0.0,0.0,1.1780972480773926,1.162577509880066,6.099999904632568,3.077728748321533
7,5,-0.9619596600532532,-0.7491260766983032,0.9198707938194275,3.0,0.35236087441444397,-0.019489148631691933,0.8965517282485962,4.0,0.030612245202064514,6.0,0.07392607629299164,1.0,0.5,-0.4333333373069763,-0.10000000149011612,0.03405720368027687,4.0,2.020709276199341,0.0,0.0,0.9817476868629456,1.177870512008667,23.233333587646484,13.860594749450684
7,6,-0.2269592434167862,-0.4176050126552582,0.6439222097396851,1.0,0.3952178955078125,0.5349960923194885,0.8965517282485962,5.0,0.02469135820865631,6.0,0.1721370667219162,4.0,0.3333333432674408,0.03333333507180214,-0.20000000298023224,0.14142417907714844,4.0,2.130419969558716,0.0,0.0,1.3744467496871948,1.2117676734924316,5.0333333015441895,3.6717309951782227
7,7,-0.17830762267112732,-0.3800767958164215,0.6584272384643555,3.0,0.38340315222740173,-0.2162325382232666,1.0,3.0,0.018707482144236565,6.0,0.10526557266712189,3.0,0.5,0.5,-0.13333334028720856,0.04902532324194908,4.0,2.073286533355713,0.0,0.0,1.7671458721160889,1.2168877124786377,14.800000190734863,10.655741691589355
7,8,-0.4580919146537781,-0.23673206567764282,0.773235023021698,2.0,0.2708856165409088,1.7501225471496582,0.931034505367279,5.0,0.015306122601032257,2.0,0.03930017352104187,1.0,0.5,0.6000000238418579,-0.6333333253860474,0.20587220788002014,3.0,2.141519784927368,0.0,0.0,1.1780972480773926,1.056367039680481,19.366666793823242,10.842074394226074
8,0,-0.010052873753011227,0.6232781410217285,0.6489349007606506,1.0,0.30518296360969543,-0.9030205607414246,0.9655172228813171,4.0,0.02469135820865631,6.0,0.1686040461063385,3.0,0.3333333432674408,0.30000001192092896,-0.23333333432674408,0.14282220602035522,3.0,2.1187028884887695,0.0,0.0,1.3744467496871948,1.1448466777801514,22.53333282470703,13.263206481933594
