window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
57,1,68.19999694824219,20.483163833618164,28.0,129.0,83.0,74.0,-0.3103448152542114,2046.0
57,2,134.10000610351562,50.77817916870117,79.0,297.0,196.0,103.0,-3.2068965435028076,4023.0
58,0,16.600000381469727,6.676326274871826,8.0,39.0,14.0,13.0,-0.03448275849223137,498.0
59,0,16.733333587646484,6.662999153137207,8.0,39.0,10.0,18.0,0.27586206793785095,502.0
60,0,16.899999618530273,6.554133415222168,8.0,39.0,13.0,15.0,0.06896551698446274,507.0
61,0,17.0,6.516645431518555,8.0,39.0,14.0,16.0,0.06896551698446274,510.0
62,0,17.46666717529297,6.78101921081543,8.0,39.0,16.0,28.0,0.4137931168079376,524.0
63,0,17.299999237060547,6.875802993774414,8.0,39.0,19.0,11.0,-0.27586206793785095,519.0
64,0,17.33333396911621,6.886379241943359,8.0,39.0,25.0,20.0,-0.17241379618644714,520.0
64,1,2.5999999046325684,2.1228911876678467,0.0,8.0,4.0,4.0,0.0,78.0
65,0,16.96666717529297,6.760095119476318,8.0,39.0,10.0,14.0,0.13793103396892548,509.0
66,0,16.96666717529297,6.760095119476318,8.0,39.0,18.0,10.0,-0.27586206793785095,509.0
66,1,22.933332443237305,8.808834075927734,5.0,40.0,29.0,13.0,-0.5517241358757019,688.0
67,0,16.866666793823242,6.766256332397461,8.0,39.0,18.0,15.0,-0.1034482792019844,506.0
67,1,22.16666603088379,9.23790454864502,5.0,40.0,40.0,6.0,-1.1724138259887695,665.0
68,0,16.633333206176758,6.843407154083252,8.0,39.0,29.0,11.0,-0.6206896305084229,499.0
69,0,16.266666412353516,6.454627990722656,8.0,39.0,18.0,18.0,0.0,488.0
70,0,16.366666793823242,6.503759384155273,8.0,39.0,39.0,21.0,-0.6206896305084229,491.0
71,0,15.666666984558105,4.9821906089782715,8.0,28.0,8.0,18.0,0.3448275923728943,470.0
72,0,15.733333587646484,4.891716480255127,8.0,28.0,15.0,10.0,-0.17241379618644714,472.0
73,0,15.899999618530273,4.948737144470215,8.0,28.0,8.0,20.0,0.4137931168079376,477.0
74,0,16.066667556762695,4.760485649108887,10.0,28.0,14.0,13.0,-0.03448275849223137,482.0
75,0,16.200000762939453,4.756749629974365,10.0,28.0,11.0,18.0,0.24137930572032928,486.0
76,0,16.700000762939453,4.9675612449646,10.0,28.0,25.0,26.0,0.03448275849223137,501.0
77,0,16.53333282470703,4.766083717346191,10.0,28.0,16.0,20.0,0.13793103396892548,496.0
78,0,16.46666717529297,4.7870192527771,10.0,28.0,25.0,14.0,-0.37931033968925476,494.0
79,0,16.0,4.611579418182373,10.0,28.0,23.0,11.0,-0.4137931168079376,480.0
80,0,15.600000381469727,4.50629186630249,10.0,28.0,11.0,11.0,0.0,468.0
81,0,15.333333015441895,4.9821906089782715,3.0,28.0,14.0,3.0,-0.37931033968925476,460.0
82,0,14.866666793823242,5.690537929534912,0.0,28.0,16.0,0.0,-0.5517241358757019,446.0
83,0,14.866666793823242,5.690537929534912,0.0,28.0,13.0,16.0,0.1034482792019844,446.0
84,0,15.066666603088379,5.72674036026001,0.0,28.0,11.0,19.0,0.27586206793785095,452.0
85,0,15.300000190734863,5.6988301277160645,0.0,28.0,19.0,18.0,-0.03448275849223137,459.0
