product_id,best_overall_model,is_hybrid,best_model_seed,best_model_rmse,best_model_mae,best_model_bias,best_model_pocid,lstm_baseline_mae,lstm_baseline_seed,graph2vec_lstm_mae,graph2vec_lstm_seed,gcn_lstm_mae,gcn_lstm_seed,gat_lstm_mae,gat_lstm_seed,mlp_baseline_mae,mlp_baseline_seed,graph2vec_mlp_mae,graph2vec_mlp_seed,gcn_mlp_mae,gcn_mlp_seed,gat_mlp_mae,gat_mlp_seed
151821,gat_lstm,True,618626816,9.083131960098076,7.1596999635883405,0.9979043536716036,0.5394736842105263,7.366218111873452,26008,7.65225861119289,618626816,7.625278553931541,555555,7.1596999635883405,618626816,8.235765407287996,42,8.169320605159585,907969,7.861478693345013,26008,8.350274522320118,213626
151828,graph2vec_lstm,True,555555,8.991461560725206,6.556340067994361,0.7364070680406358,0.6381578947368421,6.659487674438876,555555,6.556340067994361,555555,6.951676474677192,907969,7.455249306423212,13451285,7.057752696517246,213626,7.130576046463711,5219788,7.3485200794693695,907969,7.265016293993183,42
213624,graph2vec_lstm,True,1000,8.760097243308424,6.78418929904115,-0.4226569007424747,0.7368421052631579,7.019952524721233,1000,6.78418929904115,1000,7.124282874313056,23616558,7.270271930819243,26008,7.9635039934145855,42,7.657210505865757,555555,7.856126623216018,907969,7.670486200868694,213626
213625,gcn_lstm,True,555555,8.823143499310468,6.790574834237691,1.0721179675432593,0.756578947368421,7.107777907178293,23616558,6.997823179157731,907969,6.790574834237691,555555,7.385313707239487,555555,7.134367350659339,1000,6.855395123849507,618626816,6.883540807985792,23616558,7.021697636523278,555555
213626,mlp_baseline,False,1000,20.19494923816284,13.704160079457402,3.473976259917216,0.6381578947368421,14.968212638805117,13451285,15.007844862595103,5219788,13.730983958524815,1000,14.370234371010774,555555,13.704160079457402,1000,15.4375285728305,555555,15.265613181918274,907969,14.76877369600184,213626
213627,gcn_mlp,True,907969,17.31232401090882,12.825176912195545,-2.475207958346098,0.6513157894736842,12.897689769470611,23616558,12.95989441715814,26008,13.15093301012625,907969,14.026460635116678,213626,13.580752104715584,1000,13.134543574713414,213626,12.825176912195545,907969,13.25381823770361,213626
213628,graph2vec_lstm,True,1000,14.892038844462146,11.252731048982907,-1.0608135298186658,0.6710526315789473,11.448196024676554,42,11.252731048982907,1000,11.413831025167228,23616558,12.082180122924006,907969,12.94169915891161,26008,12.703732334710416,1000,12.4735166262957,618626816,12.54156132617028,555555
213629,gcn_lstm,True,42,16.307693302256535,11.884053996964996,-2.593060661764706,0.743421052631579,12.95200260636074,555555,12.894804711435356,1000,11.884053996964996,42,12.424609464757582,23616558,13.347032185473472,26008,13.599924773172615,555555,13.418176688399967,13451285,13.24661556568021,555555
213630,graph2vec_lstm,True,618626816,16.035398950675418,11.605864986095552,2.558288181529325,0.5855263157894737,11.690661056368958,13451285,11.605864986095552,618626816,11.779042773776585,907969,12.454322241490184,42,12.086395712459788,5219788,11.909387276842704,42,11.988686655081954,26008,11.857476801654093,1000
213631,mlp_baseline,False,5219788,13.898863212263985,10.417448779336768,0.1075032801409952,0.5197368421052632,10.72742128060534,907969,10.782751370099636,26008,10.916358224706713,23616558,10.999018824957554,23616558,10.417448779336768,5219788,10.770430147258285,555555,10.611143124648947,5219788,10.735848994036903,13451285
213633,gcn_lstm,True,42,12.694897104732505,9.23653012319328,1.233984573214662,0.5723684210526315,9.784090344422784,213626,9.972160781910215,23616558,9.23653012319328,42,10.16616640527264,23616558,9.808592079511657,42,9.660503325119516,13451285,10.254573871886809,26008,10.565507764130636,1000
213636,mlp_baseline,False,555555,8.27785988546417,5.8314540651109485,-0.4798775030896554,0.5657894736842105,7.1156897576026665,13451285,7.727614396537831,23616558,5.988822759366503,13451285,6.241218647925682,907969,5.8314540651109485,555555,6.020997402714748,213626,5.937912623087565,907969,6.464778413959578,5219788
