source,target,weight
6032,213633,1.0
1325,213633,1.0
907969,213633,1.0
907970,213633,1.0
911753,213633,1.0
916110,213633,1.0
933457,213633,1.0
900087600,213633,1.0
18568,213636,1.0
25032,213636,1.0
26002,213636,1.0
26076,213636,1.0
26372,213636,1.0
26768,213636,1.0
26924,213636,1.0
213624,213636,1.0
213625,213636,1.0
213627,213636,1.0
213628,213636,1.0
900087600,213631,1.0
918537,213631,1.0
457,538923,1.0
26220,213630,1.0
213633,213630,1.0
213629,213630,1.0
213627,213630,1.0
213625,213630,1.0
26924,213630,1.0
26372,213630,1.0
26008,213630,1.0
907967,213631,1.0
26002,213630,1.0
25032,213630,1.0
16920,213630,1.0
6032,213630,1.0
1325,213630,1.0
457,213630,1.0
213636,213630,1.0
538923,213630,1.0
545602,213630,1.0
582893,213630,1.0
587317,213630,1.0
606230,213630,1.0
13544,213631,1.0
26008,213631,1.0
26076,213631,1.0
26768,213631,1.0
48369,213631,1.0
48375,213631,1.0
151828,213631,1.0
213626,213631,1.0
213628,213631,1.0
213629,213631,1.0
213636,213631,1.0
213629,213636,1.0
213633,213636,1.0
606214,213636,1.0
907970,500056,1.0
26002,500057,1.0
6032,500057,1.0
1325,500057,1.0
278,500057,1.0
918537,500056,1.0
908786,500056,1.0
904144,500056,1.0
904144,213636,1.0
606214,500056,1.0
545598,500056,1.0
213636,500056,1.0
213631,500056,1.0
213628,500056,1.0
213627,500056,1.0
26076,500057,1.0
26372,500057,1.0
26768,500057,1.0
26924,500057,1.0
151815,500057,1.0
213624,500057,1.0
213626,500057,1.0
213636,500057,1.0
213642,500057,1.0
500056,500057,1.0
545597,500057,1.0
582893,500057,1.0
680152,500057,1.0
907967,500057,1.0
911753,500057,1.0
912509,500057,1.0
278,538923,1.0
213625,500056,1.0
151828,500056,1.0
48369,500056,1.0
213627,213642,1.0
907967,213636,1.0
907969,213636,1.0
911753,213636,1.0
921558,213636,1.0
933457,213636,1.0
278,213642,1.0
6032,213642,1.0
26008,213642,1.0
48375,213642,1.0
110187,213642,1.0
151815,213642,1.0
151828,213642,1.0
213625,213642,1.0
213626,213642,1.0
213630,213642,1.0
30534,500056,1.0
213633,213642,1.0
213636,213642,1.0
545598,213642,1.0
545602,213642,1.0
587317,213642,1.0
606214,213642,1.0
911753,213642,1.0
918537,213642,1.0
921558,213642,1.0
6032,500056,1.0
13544,500056,1.0
18568,500056,1.0
25032,500056,1.0
26924,500056,1.0
278,680152,1.0
26008,680152,1.0
919137,213629,1.0
213633,919137,1.0
278,921558,1.0
606214,919137,1.0
582893,919137,1.0
500056,919137,1.0
213642,919137,1.0
213636,919137,1.0
213631,919137,1.0
26220,919137,1.0
213630,919137,1.0
213624,919137,1.0
151828,919137,1.0
151821,919137,1.0
48369,919137,1.0
26768,919137,1.0
6032,921558,1.0
26008,921558,1.0
48369,921558,1.0
48375,921558,1.0
151821,921558,1.0
213626,921558,1.0
213630,921558,1.0
545602,921558,1.0
915640,921558,1.0
933457,921558,1.0
900087600,921558,1.0
278,932812,1.0
6032,932812,1.0
13544,932812,1.0
16920,932812,1.0
26002,932812,1.0
26076,932812,1.0
26372,919137,1.0
26076,919137,1.0
545598,915640,1.0
915640,916110,1.0
110187,918537,1.0
26220,918537,1.0
26076,918537,1.0
25032,918537,1.0
900087600,916110,1.0
919137,916110,1.0
545597,916110,1.0
26008,919137,1.0
213631,916110,1.0
213628,916110,1.0
26924,916110,1.0
13544,916110,1.0
457,916110,1.0
606230,915640,1.0
213633,918537,1.0
500057,918537,1.0
538923,918537,1.0
545597,918537,1.0
582893,918537,1.0
587317,918537,1.0
680152,918537,1.0
907970,918537,1.0
908786,918537,1.0
916110,918537,1.0
919137,918537,1.0
933442,918537,1.0
933457,918537,1.0
900087600,918537,1.0
1325,919137,1.0
13544,919137,1.0
18568,919137,1.0
26372,932812,1.0
48369,932812,1.0
110187,932812,1.0
278,936693,1.0
26220,936693,1.0
26076,936693,1.0
25032,936693,1.0
18568,936693,1.0
13544,936693,1.0
6032,936693,1.0
933442,933457,1.0
151828,932812,1.0
916110,933457,1.0
912509,933457,1.0
911753,933457,1.0
908786,933457,1.0
907970,933457,1.0
680152,933457,1.0
26372,936693,1.0
