item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,composite_score,pocid,train_time,inference_time,best_epoch
13544,6269,1000,no_emb,30,1,,,,,baseline,42.23277284312675,33.479181230701265,-1.5151215555523736,29.864962118126787,0.618421052631579,6.7088,0.0845,15
13544,6269,1000,spearman,30,1,0.7,,True,False,True,40.15449632313919,30.66524975995223,-10.868921401161774,30.460790951848097,0.6578947368421053,7.1829,0.7446,20
13544,6269,1000,spearman,30,1,0.7,,True,False,False,41.23542359716525,31.737742500951867,-15.963932042223176,32.54313043437639,0.618421052631579,7.2784,0.5085,20
13544,6269,26008,no_emb,30,1,,,,,baseline,43.40963392601138,34.031231495825686,-10.104112615626232,32.73865299086867,0.6118421052631579,8.3097,0.0885,37
13544,6269,26008,spearman,30,1,0.7,,True,False,True,36.70560224692751,29.005085428263627,0.0173341722465028,25.60840602359129,0.6118421052631579,7.2723,0.9693,9
13544,6269,26008,spearman,30,1,0.7,,True,False,False,36.10055868363175,28.904779060311565,1.8929620008258257,25.749714607100227,0.618421052631579,6.8634,0.9328,9
13544,6269,555555,no_emb,30,1,,,,,baseline,41.707858031325365,31.84758329906446,-10.325546386986485,31.397211437175418,0.631578947368421,7.621,0.0753,29
13544,6269,555555,spearman,30,1,0.7,,True,False,True,41.888129386967,32.98974755722907,-0.0124512934704232,29.194614406158376,0.6381578947368421,7.3903,0.5308,31
13544,6269,555555,spearman,30,1,0.7,,True,False,False,42.16562055646273,32.72425047449427,-2.5918346216865613,29.91183155227657,0.6776315789473685,7.5741,0.5405,31
13544,6269,213626,no_emb,30,1,,,,,baseline,42.86829485549893,33.02885331259736,-12.381516088676804,32.78673977806801,0.5723684210526315,7.4103,0.0873,15
13544,6269,213626,spearman,30,1,0.7,,True,False,True,37.15475616149095,29.13852754069699,-0.5629820505193636,26.002755478549567,0.5986842105263158,7.9423,0.6557,12
13544,6269,213626,spearman,30,1,0.7,,True,False,False,38.07251147146244,29.397353927586597,-4.302878686318211,27.46131388920742,0.5855263157894737,6.5187,0.6357,12
