product_id,store_id,seed,metric,threshold,n_nodes,n_edges,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
911753,6269,42,spearman,0.5,16,56,26.304802355332857,18.424665451049805,-5.078134361066316,0.4986477494239807,0.7417218543046358,113,12.59
911753,6269,42,spearman,0.55,10,27,25.356603408693786,17.598079681396484,-3.4449742154071203,0.534140408039093,0.7549668874172185,113,12.08
911753,6269,42,spearman,0.6,6,9,26.35408933927226,18.284168243408203,-1.5539058384142423,0.49676722288131714,0.7086092715231788,53,10.03
26008,6269,42,spearman,0.6,7,7,50.64051652641884,27.27181053161621,-17.77875184701159,0.19777590036392212,0.6842105263157895,14,7.04
26008,6269,42,spearman,0.62,5,5,44.0251545528058,21.68186378479004,-8.220464768752553,0.3936808705329895,0.6776315789473685,23,7.23
26008,6269,42,spearman,0.65,3,2,50.618964242817384,27.724437713623047,-19.82246488683364,0.1984584927558899,0.6578947368421053,17,6.99
907969,6269,42,spearman,0.6,7,7,56.19279860653298,38.00102615356445,-27.97488612754672,-0.026767611503601074,0.7171052631578947,14,6.94
907969,6269,42,spearman,0.62,5,5,53.70392056437198,35.46396255493164,-22.5978737126768,0.062172770500183105,0.7171052631578947,14,6.94
907969,6269,42,spearman,0.65,3,2,55.61600392493266,37.23101043701172,-25.133404301662072,-0.005797266960144043,0.7105263157894737,11,6.8
907967,6269,42,spearman,0.6,1,0,20.108324807464694,14.179325103759766,0.029388452667036866,0.17501407861709595,0.6447368421052632,9,6.4
907967,6269,42,spearman,0.62,1,0,20.108324807464694,14.179325103759766,0.029388452667036866,0.17501407861709595,0.6447368421052632,9,6.44
907967,6269,42,spearman,0.65,1,0,20.108324807464694,14.179325103759766,0.029388452667036866,0.17501407861709595,0.6447368421052632,9,6.49
213626,6269,42,spearman,0.6,1,0,21.6304198071872,14.73399829864502,3.283154126086266,0.16026455163955688,0.631578947368421,92,9.9
213626,6269,42,spearman,0.62,1,0,21.6304198071872,14.73399829864502,3.283154126086266,0.16026455163955688,0.631578947368421,92,9.88
213626,6269,42,spearman,0.65,1,0,21.6304198071872,14.73399829864502,3.283154126086266,0.16026455163955688,0.631578947368421,92,11.09
911753,6269,42,spearman,0.6,7,7,25.471806517129753,17.905149459838867,-1.3294272329293044,0.528627336025238,0.743421052631579,103,12.92
911753,6269,42,spearman,0.62,5,5,24.590558282410445,17.1053524017334,1.4876562006333296,0.5606792569160461,0.75,99,12.09
911753,6269,42,spearman,0.65,3,2,25.928217465485357,18.094728469848633,-3.4373508683996263,0.5115835666656494,0.743421052631579,112,12.85
26008,6269,42,spearman,0.6,7,7,49.28377648882034,26.498563766479492,-17.629181431789025,0.24018573760986328,0.6513157894736842,10,5.98
26008,6269,42,spearman,0.62,5,5,49.28409848299196,26.49886131286621,-17.629806518554688,0.2401757836341858,0.6513157894736842,10,5.94
