Node,Mean_Degree,Median_Degree,Std_Degree,Max_Degree,Zero_Degree_Windows,Mean_Betweenness,Mean_Eigenvector,Degree_Stability
113639,2.3764510779436154,2.0,2.7078736633432867,20,153,0.0010475978802899275,0.006029700464663261,0.8776045699871506
228821,2.371475953565506,1.0,3.3080607583242863,35,148,0.0010854536410597566,0.006022251400632312,0.7168758248589533
266558,2.142620232172471,1.0,2.6353052192731496,22,166,0.0010685192861887018,0.006016206047176393,0.8130413456813832
962963,2.4112769485903813,2.0,2.9371535833278615,25,149,0.0009931510696281345,0.006015923582306115,0.8209542574603077
505414,2.6517412935323383,2.0,2.795656923023058,23,123,0.0012126175536434204,0.005983251624869784,0.9485183201527141
251734,2.716417910447761,2.0,2.872788633334955,21,118,0.0013206248488984928,0.005976268494196662,0.945565024616551
47199,2.4975124378109452,1.0,3.3295367106486067,25,147,0.0007230705722407907,0.005976248572626686,0.7501058416821014
47177,2.33167495854063,2.0,2.732904045979381,23,159,0.0006892918734630293,0.005967105299178904,0.8531826904585427
1433,2.4792703150912105,2.0,2.708775395668096,20,131,0.001329279614642603,0.005965739775696789,0.9152701129650479
579299,2.046434494195688,1.0,2.2522146219711017,14,167,0.0006395377660302097,0.005957767667280468,0.908628062330963
217813,2.2587064676616917,2.0,2.642816789367702,25,152,0.0007114592775063928,0.005946105029779017,0.8546555062740561
904598,1.791044776119403,1.0,2.405656560184202,14,210,0.0005358822400581775,0.005944966002920335,0.7445108169863169
57364,2.343283582089552,2.0,2.4683536985085963,20,136,0.0012095516486199912,0.005926045560285867,0.9493267072050126
66407,2.625207296849088,2.0,3.1262269496062296,24,147,0.0011084690523980108,0.005925010750001079,0.8397339482471892
636597,1.9187396351575456,1.0,2.591931044128479,25,172,0.0006761888712553475,0.00590410091166653,0.7402713265813141
151826,2.8369384359401,2.0,3.4956640522119695,35,109,0.001485710310890699,0.005893674885110298,0.8115569110755508
65984,1.9419568822553896,1.0,2.481429699059534,20,202,0.0006104229742424141,0.005892651863158302,0.7825928161749776
151814,2.872305140961857,2.0,3.3687588927333345,33,103,0.0012733332564072012,0.005882169998603318,0.8526275421141581
26910,2.1492537313432836,1.0,2.465202995950292,16,177,0.0009048657194642182,0.005880401012519185,0.8718328740250647
298017,2.628524046434494,2.0,2.809244802823573,25,111,0.0013576701831908092,0.005874128757400552,0.9356659437914187
151805,2.683250414593698,2.0,3.2056389032591537,29,116,0.0013683400958541096,0.0058685753997759615,0.8370381459634154
501469,2.1824212271973464,1.0,2.519553273536707,18,163,0.000867021633798643,0.005866587522968025,0.8661902838954645
65942,1.9601990049751243,1.0,2.4673808217624207,22,176,0.0006754751783924087,0.005859864061466191,0.7944420428600699
151815,2.887230514096186,2.0,2.6025665591470055,21,85,0.0018428882672278817,0.005852021542272013,1.1093739025462042
12046,2.1177446102819237,1.0,2.6556489222895565,17,191,0.000838169747480049,0.005823041702520429,0.7974460095410618
200182,2.548922056384743,2.0,2.39239632960446,20,96,0.0012446915993284868,0.005821857949849702,1.0654218829149142
151824,2.895093062605753,2.0,2.6176208084677026,14,100,0.001780260935599196,0.005817297342638132,1.1059974742200067
925849,2.3101160862354893,1.0,3.2417795749240312,36,160,0.000975339715598227,0.005813281995920626,0.71260519316391
298943,2.487562189054726,2.0,3.092991252212846,31,137,0.0012650525280574181,0.005812031329401843,0.8042551509719025
13163,2.8507462686567164,2.0,2.9937932377747427,24,101,0.0014572411169059994,0.005809537212422849,0.9522156408567589
720252,2.099502487562189,1.0,2.459634271087116,25,156,0.000579991396568688,0.005801484170436734,0.8535797278661962
1181,2.172470978441128,1.0,2.567840081401477,18,170,0.0008692597353040056,0.005786151603480942,0.8460271860012326
536433,1.8971807628524047,1.0,2.406329825553432,15,212,0.0006149623053816791,0.005777489312281081,0.7884093271888869
151827,2.887543252595156,2.0,2.8545145180822535,25,97,0.0015981762985012372,0.005759231336903733,1.0115671574385654
